cliente_id,tienda_id,producto_id,fecha,sku_cliente,unidades,importe,archivo_origen
1,4,3,2025-01-09,7500462417826,9,82.5,sellout-heb.xlsx
1,4,3,2025-01-10,7500462417826,1,4.63,sellout-heb.xlsx
1,4,3,2025-01-19,7500462417826,1,18.43,sellout-heb.xlsx
1,4,4,2025-01-07,7500462417833,1,18.43,sellout-heb.xlsx
1,4,4,2025-01-15,7500462417833,1,18.43,sellout-heb.xlsx
1,4,4,2025-01-16,7500462417833,3,55.28,sellout-heb.xlsx
1,4,5,2025-01-02,7500462860004,1,36.02,sellout-heb.xlsx
1,4,5,2025-01-05,7500462860004,1,18.43,sellout-heb.xlsx
1,4,8,2025-01-14,7500462860042,1,20.83,sellout-heb.xlsx
1,4,10,2025-01-03,7503028921003,3,108.06,sellout-heb.xlsx
1,4,10,2025-01-11,7503028921003,1,36.02,sellout-heb.xlsx
1,4,10,2025-01-14,7503028921003,1,36.02,sellout-heb.xlsx
1,4,10,2025-01-18,7503028921003,1,36.02,sellout-heb.xlsx
1,4,11,2025-01-03,7503028921010,1,36.02,sellout-heb.xlsx
1,4,11,2025-01-09,7503028921010,1,36.02,sellout-heb.xlsx
1,4,11,2025-01-18,7503028921010,1,36.02,sellout-heb.xlsx
1,4,12,2025-01-05,7503028921133,6,55,sellout-heb.xlsx
1,4,12,2025-01-08,7503028921133,2,16.67,sellout-heb.xlsx
1,4,13,2025-01-05,7503028921317,5,159.5,sellout-heb.xlsx
1,4,13,2025-01-07,7503028921317,1,10,sellout-heb.xlsx
1,4,13,2025-01-14,7503028921317,1,49.9,sellout-heb.xlsx
1,4,13,2025-01-20,7503028921317,1,49.9,sellout-heb.xlsx
1,5,2,2025-01-03,7500462417819,1,18.43,sellout-heb.xlsx
1,5,2,2025-01-06,7500462417819,2,36.85,sellout-heb.xlsx
1,5,2,2025-01-08,7500462417819,2,36.85,sellout-heb.xlsx
1,5,2,2025-01-12,7500462417819,1,18.43,sellout-heb.xlsx
1,5,2,2025-01-13,7500462417819,1,18.43,sellout-heb.xlsx
1,5,2,2025-01-14,7500462417819,2,36.85,sellout-heb.xlsx
1,5,2,2025-01-15,7500462417819,1,18.43,sellout-heb.xlsx
1,5,2,2025-01-17,7500462417819,2,36.85,sellout-heb.xlsx
1,5,2,2025-01-19,7500462417819,2,36.85,sellout-heb.xlsx
1,5,3,2025-01-03,7500462417826,1,18.43,sellout-heb.xlsx
1,5,3,2025-01-04,7500462417826,1,18.43,sellout-heb.xlsx
1,5,3,2025-01-10,7500462417826,2,36.85,sellout-heb.xlsx
1,5,3,2025-01-12,7500462417826,2,36.85,sellout-heb.xlsx
1,5,3,2025-01-13,7500462417826,1,18.43,sellout-heb.xlsx
1,5,3,2025-01-14,7500462417826,1,18.43,sellout-heb.xlsx
1,5,3,2025-01-19,7500462417826,1,18.43,sellout-heb.xlsx
1,5,4,2025-01-06,7500462417833,1,18.43,sellout-heb.xlsx
1,5,4,2025-01-09,7500462417833,1,18.43,sellout-heb.xlsx
1,5,4,2025-01-11,7500462417833,1,18.43,sellout-heb.xlsx
1,5,4,2025-01-13,7500462417833,2,36.85,sellout-heb.xlsx
1,5,4,2025-01-17,7500462417833,3,55.28,sellout-heb.xlsx
1,5,4,2025-01-19,7500462417833,3,55.28,sellout-heb.xlsx
1,5,5,2025-01-04,7500462860004,1,36.02,sellout-heb.xlsx
1,5,5,2025-01-05,7500462860004,1,36.02,sellout-heb.xlsx
1,5,5,2025-01-08,7500462860004,1,36.02,sellout-heb.xlsx
